,Kilometerstand,Erstzulassung,Leistung,Getriebe,Anzahl der Fahrzeughalter,Kraftstoffart,Fahrzeugzustand,Kategorie,Hubraum,Verbrauch,CO₂-Emissionen,Anzahl der Türen,Klimatisierung,Farbe,Innenausstattung,Price,Dealer,Ad_link,Umweltplakette,Farbe (Hersteller),Baujahr,Zugr.-lgd. Treibstoffart
74,138.300 km,07/2010,254 kW (345 PS),Schaltgetriebe,3,Benzin,Unfallfrei,Sportwagen / Coupé,3.614 cm³,"ca. 10,3 l/100km (kombiniert)ca. 15,5 l/100km (innerorts)ca. 7,4 l/100km (außerorts)",ca. 242 g/km (kombiniert),2/3,Klimaautomatik,Schwarz,"Vollleder, Schwarz",56.700 €,Privatanbieter,https://suchen.mobile.de/fahrzeuge/details.html?id=374755638&action=eyeCatcher&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=1&pw=%3A295&ref=srp&refId=967bcd39-8c23-1ad8-77f0-fe48611cccda&sb=rel&searchId=967bcd39-8c23-1ad8-77f0-fe48611cccda&vc=Car,4 (Grün),,,
75,90.900 km,06/2011,254 kW (345 PS),Automatik,2,Benzin,Unfallfrei,Sportwagen / Coupé,3.614 cm³,"ca. 10,3 l/100km (kombiniert)ca. 15,5 l/100km (innerorts)ca. 7,4 l/100km (außerorts)",ca. 242 g/km (kombiniert),2/3,Klimaautomatik,Schwarz Metallic,"Vollleder, Schwarz",69.911 €,Privatanbieter,https://suchen.mobile.de/fahrzeuge/details.html?id=378879915&action=eyeCatcher&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=3&pw=%3A295&ref=srp&refId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&sb=rel&searchId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&vc=Car,4 (Grün),,,
76,146.924 km,08/2010,254 kW (345 PS),Automatik,,Benzin,Unfallfrei,Sportwagen / Coupé,3.614 cm³,"ca. 9,8 l/100km (kombiniert)ca. 14,7 l/100km (innerorts)ca. 7,0 l/100km (außerorts)",ca. 230 g/km (kombiniert),2/3,2-Zonen-Klimaautomatik,Schwarz,"Vollleder, Schwarz",59.850 €,JB-Motors GmbH,https://suchen.mobile.de/fahrzeuge/details.html?id=354277266&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=3&pw=%3A295&ref=srp&refId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&sb=rel&searchId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&vc=Car,,Schwarz,,
77,84.000 km,03/2010,283 kW (385 PS),Automatik,3,Benzin,Unfallfrei,Sportwagen / Coupé,3.800 cm³,"ca. 10,6 l/100km (kombiniert)ca. 15,9 l/100km (innerorts)ca. 7,6 l/100km (außerorts)",ca. 250 g/km (kombiniert),2/3,Klimaautomatik,Weiß,"Vollleder, Schwarz",67.997 €,Privatanbieter,https://suchen.mobile.de/fahrzeuge/details.html?id=377827170&action=eyeCatcher&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=3&pw=%3A295&ref=srp&refId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&sb=rel&searchId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&vc=Car,4 (Grün),,,
78,77.059 km,08/2011,254 kW (345 PS),Automatik,2,Benzin,,Cabrio / Roadster,3.614 cm³,"ca. 9,9 l/100km (kombiniert)ca. 14,9 l/100km (innerorts)ca. 7,0 l/100km (außerorts)",ca. 233 g/km (kombiniert),2/3,Klimaautomatik,Weiß,"Vollleder, Schwarz",69.900 €,Porsche Zentrum Willich Tölke & Fischer Sportwagen GmbH & Co. KG,https://suchen.mobile.de/fahrzeuge/details.html?id=372824035&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=3&pw=%3A295&ref=srp&refId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&sb=rel&searchId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&vc=Car,4 (Grün),cremeweiß,,Benzin Super Plus
79,96.500 km,07/2010,283 kW (385 PS),Schaltgetriebe,,Benzin,Unfallfrei,Sportwagen / Coupé,3.800 cm³,"ca. 11,0 l/100km (kombiniert)ca. 16,5 l/100km (innerorts)ca. 7,9 l/100km (außerorts)",ca. 261 g/km (kombiniert),2/3,Klimaautomatik,Weiß,"Vollleder, Schwarz",69.997 €,Speedialists GmbH,https://suchen.mobile.de/fahrzeuge/details.html?id=379822842&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=3&pw=%3A295&ref=srp&refId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&sb=rel&searchId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&vc=Car,,Carraraweiß,,
80,181.000 km,11/2009,254 kW (345 PS),Automatik,3,Benzin,Unfallfrei,Sportwagen / Coupé,3.614 cm³,"ca. 9,8 l/100km (kombiniert)ca. 14,7 l/100km (innerorts)ca. 7,0 l/100km (außerorts)",ca. 230 g/km (kombiniert),2/3,Klimaautomatik,Schwarz Metallic,"Vollleder, Schwarz",49.980 €,"Kfz & Teile, An und Verkauf",https://suchen.mobile.de/fahrzeuge/details.html?id=374171956&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=3&pw=%3A295&ref=srp&refId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&sb=rel&searchId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&vc=Car,4 (Grün),Basaltschwarz-metallic,,
81,79.281 km,09/2011,254 kW (345 PS),Automatik,2,Benzin,Unfallfrei,Cabrio / Roadster,3.614 cm³,"ca. 9,9 l/100km (kombiniert)ca. 14,9 l/100km (innerorts)ca. 7,0 l/100km (außerorts)",ca. 233 g/km (kombiniert),2/3,Klimaautomatik,Weiß,"Vollleder, Andere",69.900 €,Porsche Zentrum Mannheim - Penske Sportwagenzentrum GmbH,https://suchen.mobile.de/fahrzeuge/details.html?id=378596410&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=3&pw=%3A295&ref=srp&refId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&sb=rel&searchId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&vc=Car,4 (Grün),carraraweiss,,
82,94.400 km,01/2011,283 kW (385 PS),Automatik,,Benzin,,Cabrio / Roadster,3.800 cm³,"ca. 10,3 l/100km (kombiniert)ca. 15,5 l/100km (innerorts)ca. 7,3 l/100km (außerorts)",ca. 242 g/km (kombiniert),2/3,Klimaautomatik,Schwarz,"Vollleder, Schwarz",71.990 €,Autohaus 300 GbR,https://suchen.mobile.de/fahrzeuge/details.html?id=368170951&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=3&pw=%3A295&ref=srp&refId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&sb=rel&searchId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&vc=Car,4 (Grün),Schwarz,,
83,63.458 km,04/2010,283 kW (385 PS),Automatik,3,Benzin,Unfallfrei,Cabrio / Roadster,3.800 cm³,"ca. 10,7 l/100km (kombiniert)ca. 16,1 l/100km (innerorts)ca. 7,7 l/100km (außerorts)",ca. 251 g/km (kombiniert),2/3,Klimaautomatik,Schwarz Metallic,"Vollleder, Braun",70.997 €,Sportwagenzentrum OWL GmbH,https://suchen.mobile.de/fahrzeuge/details.html?id=361674058&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=3&pw=%3A295&ref=srp&refId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&sb=rel&searchId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&vc=Car,4 (Grün),Basaltschwarz-metallic,,
84,99.550 km,02/2010,254 kW (345 PS),Automatik,2,Benzin,,Sportwagen / Coupé,3.614 cm³,"ca. 10,3 l/100km (kombiniert)ca. 15,5 l/100km (innerorts)ca. 7,4 l/100km (außerorts)",ca. 242 g/km (kombiniert),2/3,Klimaautomatik,Schwarz Metallic,"Vollleder, Schwarz",69.990 €,Autohaus Bad Oeynhausen,https://suchen.mobile.de/fahrzeuge/details.html?id=379531608&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=3&pw=%3A295&ref=srp&refId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&sb=rel&searchId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&vc=Car,4 (Grün),Basaltschwarz-metallic,,
85,79.000 km,09/2010,283 kW (385 PS),Automatik,,Benzin,Unfallfrei,Cabrio / Roadster,3.800 cm³,"ca. 10,8 l/100km (kombiniert)ca. 16,2 l/100km (innerorts)ca. 7,7 l/100km (außerorts)",ca. 254 g/km (kombiniert),2/3,Klimaanlage,Silber Metallic,"Vollleder, Schwarz",71.250 €,BEKA AUTO A/S,https://suchen.mobile.de/fahrzeuge/details.html?id=376518130&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=3&pw=%3A295&ref=srp&refId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&sb=rel&searchId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&vc=Car,,Silber,,
86,118.000 km,06/2009,283 kW (385 PS),Schaltgetriebe,,Benzin,Unfallfrei,Sportwagen / Coupé,3.800 cm³,"ca. 11,0 l/100km (kombiniert)ca. 16,5 l/100km (innerorts)ca. 7,7 l/100km (außerorts)",ca. 259 g/km (kombiniert),2/3,Klimaanlage,Schwarz Metallic,"Vollleder, Schwarz",67.125 €,BEKA AUTO A/S,https://suchen.mobile.de/fahrzeuge/details.html?id=376583313&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=3&pw=%3A295&ref=srp&refId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&sb=rel&searchId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&vc=Car,,,,
87,76.000 km,02/2009,283 kW (385 PS),Automatik,2,Benzin,Unfallfrei,Sportwagen / Coupé,3.800 cm³,"ca. 10,6 l/100km (kombiniert)ca. 15,9 l/100km (innerorts)ca. 7,6 l/100km (außerorts)",ca. 250 g/km (kombiniert),2/3,Klimaautomatik,Schwarz,"Vollleder, Schwarz",66.900 €,Privatanbieter,https://suchen.mobile.de/fahrzeuge/details.html?id=379799481&action=eyeCatcher&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=3&pw=%3A295&ref=srp&refId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&sb=rel&searchId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&vc=Car,4 (Grün),,,
88,79.913 km,01/2009,283 kW (385 PS),Schaltgetriebe,2,Benzin,Unfallfrei,Cabrio / Roadster,3.800 cm³,"ca. 10,8 l/100km (kombiniert)ca. 16,2 l/100km (innerorts)ca. 7,8 l/100km (außerorts)",ca. 256 g/km (kombiniert),2/3,Klimaautomatik,Schwarz,"Vollleder, Braun",72.900 €,SportiveCars Tiepelmann,https://suchen.mobile.de/fahrzeuge/details.html?id=375380966&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=3&pw=%3A295&ref=srp&refId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&sb=rel&searchId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&vc=Car,4 (Grün),Tief- Schwarz,,
89,169.000 km,06/2009,254 kW (345 PS),Automatik,3,Benzin,,Sportwagen / Coupé,3.614 cm³,"ca. 9,8 l/100km (kombiniert)ca. 14,7 l/100km (innerorts)ca. 7,0 l/100km (außerorts)",ca. 230 g/km (kombiniert),2/3,Klimaautomatik,Schwarz Metallic,"Vollleder, Schwarz",53.990 €,Autozentrum Zollernalb,https://suchen.mobile.de/fahrzeuge/details.html?id=377198790&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=3&pw=%3A295&ref=srp&refId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&sb=rel&searchId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&vc=Car,4 (Grün),Basaltschwarz-metallic,,
90,95.000 km,09/2009,283 kW (385 PS),Automatik,,Benzin,Unfallfrei,Cabrio / Roadster,3.800 cm³,"ca. 10,7 l/100km (kombiniert)ca. 16,1 l/100km (innerorts)ca. 7,7 l/100km (außerorts)",ca. 251 g/km (kombiniert),2/3,Klimaautomatik,Weiß,"Vollleder, Braun",69.997 €,AutodromO.de GmbH,https://suchen.mobile.de/fahrzeuge/details.html?id=365813126&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=3&pw=%3A295&ref=srp&refId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&sb=rel&searchId=cd7682aa-07c1-d4ba-5b1c-28258fd96c82&vc=Car,4 (Grün),Carraraweiß,,
91,56.000 km,08/2010,283 kW (385 PS),Automatik,3,Benzin,Unfallfrei,Cabrio / Roadster,3.800 cm³,"ca. 10,7 l/100km (kombiniert)ca. 15,8 l/100km (innerorts)ca. 7,7 l/100km (außerorts)",ca. 251 g/km (kombiniert),2/3,Klimaautomatik,Schwarz Metallic,"Vollleder, Schwarz",86.500 €,MP-Sportwagen,https://suchen.mobile.de/fahrzeuge/details.html?id=367346130&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=8&pw=%3A295&ref=srp&refId=d41b6fd2-583e-0282-a7e1-a80d699113d6&sb=rel&searchId=d41b6fd2-583e-0282-a7e1-a80d699113d6&vc=Car,4 (Grün),Basaltschwarz-metallic,,
92,48.700 km,04/2011,283 kW (385 PS),Automatik,,Benzin,Unfallfrei,Cabrio / Roadster,3.800 cm³,"ca. 10,7 l/100km (kombiniert)ca. 16,1 l/100km (innerorts)ca. 7,7 l/100km (außerorts)",ca. 251 g/km (kombiniert),2/3,Klimaautomatik,Silber Metallic,"Vollleder, Braun",84.500 €,Sportivo Baltico Automobil GmbH,https://suchen.mobile.de/fahrzeuge/details.html?id=378020927&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=8&pw=%3A295&ref=srp&refId=d41b6fd2-583e-0282-a7e1-a80d699113d6&sb=rel&searchId=d41b6fd2-583e-0282-a7e1-a80d699113d6&vc=Car,,GT-Silber metallic,,
93,44.135 km,07/2011,254 kW (345 PS),Schaltgetriebe,2,Benzin,Unfallfrei,Cabrio / Roadster,3.614 cm³,"ca. 10,4 l/100km (kombiniert)ca. 15,6 l/100km (innerorts)ca. 7,5 l/100km (außerorts)",ca. 245 g/km (kombiniert),2/3,Klimaautomatik,Weiß,"Vollleder, Andere",79.990 €,Autohaus Riedel GmbH,https://suchen.mobile.de/fahrzeuge/details.html?id=379717334&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=8&pw=%3A295&ref=srp&refId=d41b6fd2-583e-0282-a7e1-a80d699113d6&sb=rel&searchId=d41b6fd2-583e-0282-a7e1-a80d699113d6&vc=Car,4 (Grün),carraraweiss,,
94,43.850 km,07/2011,283 kW (385 PS),Automatik,,Benzin,,Cabrio / Roadster,,,,,Klimaanlage,,,94.999 €,Privatanbieter,https://suchen.mobile.de/fahrzeuge/details.html?id=380151194&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=8&pw=%3A295&ref=srp&refId=d41b6fd2-583e-0282-a7e1-a80d699113d6&sb=rel&searchId=d41b6fd2-583e-0282-a7e1-a80d699113d6&vc=Car,4 (Grün),BLACK,,
95,43.700 km,01/2010,283 kW (385 PS),Automatik,2,Benzin,Unfallfrei,Sportwagen / Coupé,3.800 cm³,"ca. 10,2 l/100km (kombiniert)ca. 15,3 l/100km (innerorts)ca. 7,3 l/100km (außerorts)",ca. 240 g/km (kombiniert),2/3,Klimaautomatik,Grau Metallic,"Vollleder, Schwarz",79.900 €,GELO GmbH,https://suchen.mobile.de/fahrzeuge/details.html?id=377455028&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=8&pw=%3A295&ref=srp&refId=d41b6fd2-583e-0282-a7e1-a80d699113d6&sb=rel&searchId=d41b6fd2-583e-0282-a7e1-a80d699113d6&vc=Car,4 (Grün),Grigio Telesto PTS Farbe n. Wahl,,
96,44.000 km,08/2009,283 kW (385 PS),Automatik,,Benzin,Unfallfrei,Cabrio / Roadster,3.800 cm³,"ca. 10,8 l/100km (kombiniert)ca. 16,2 l/100km (innerorts)ca. 7,6 l/100km (außerorts)",ca. 254 g/km (kombiniert),2/3,Klimaautomatik,Silber Metallic,"Vollleder, Schwarz",78.990 €,Autohaus Bartels GmbH,https://suchen.mobile.de/fahrzeuge/details.html?id=372512052&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=8&pw=%3A295&ref=srp&refId=d41b6fd2-583e-0282-a7e1-a80d699113d6&sb=rel&searchId=d41b6fd2-583e-0282-a7e1-a80d699113d6&vc=Car,4 (Grün),,,
97,210.000 km,05/2009,283 kW (385 PS),Automatik,,Benzin,,Sportwagen / Coupé,3.800 cm³,"ca. 10,7 l/100km (kombiniert)ca. 15,8 l/100km (innerorts)ca. 7,7 l/100km (außerorts)",ca. 251 g/km (kombiniert),2/3,Klimaautomatik,Schwarz Metallic,"Vollleder, Braun",51.997 €,Andersen Biler A/S,https://suchen.mobile.de/fahrzeuge/details.html?id=379231983&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=8&pw=%3A295&ref=srp&refId=d41b6fd2-583e-0282-a7e1-a80d699113d6&sb=rel&searchId=d41b6fd2-583e-0282-a7e1-a80d699113d6&vc=Car,,Basaltschwarz-metallic,,
98,50.000 km,02/2009,283 kW (385 PS),Automatik,2,Benzin,Unfallfrei,Cabrio / Roadster,3.800 cm³,"ca. 10,0 l/100km (kombiniert)ca. 12,2 l/100km (innerorts)ca. 8,0 l/100km (außerorts)",ca. 263 g/km (kombiniert),2/3,Klimaautomatik,Schwarz Metallic,"Vollleder, Braun",89.900 €,Autoservice Sifi,https://suchen.mobile.de/fahrzeuge/details.html?id=377950617&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=8&pw=%3A295&ref=srp&refId=d41b6fd2-583e-0282-a7e1-a80d699113d6&sb=rel&searchId=d41b6fd2-583e-0282-a7e1-a80d699113d6&vc=Car,4 (Grün),Basaltschwarz,,
99,35.000 km,02/2009,283 kW (385 PS),Automatik,1,Benzin,Unfallfrei,Cabrio / Roadster,3.800 cm³,"ca. 10,7 l/100km (kombiniert)ca. 16,1 l/100km (innerorts)ca. 7,7 l/100km (außerorts)",ca. 251 g/km (kombiniert),2/3,Klimaautomatik,Braun Metallic,"Vollleder, Schwarz",76.900 €,Berendsen Automobilhandelsgesellschaft mbH,https://suchen.mobile.de/fahrzeuge/details.html?id=380015188&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=8&pw=%3A295&ref=srp&refId=d41b6fd2-583e-0282-a7e1-a80d699113d6&sb=rel&searchId=d41b6fd2-583e-0282-a7e1-a80d699113d6&vc=Car,4 (Grün),Macadamiametallic,,
100,36.750 km,04/2010,283 kW (385 PS),Schaltgetriebe,2,Benzin,Unfallfrei,Sportwagen / Coupé,3.800 cm³,"ca. 10,6 l/100km (kombiniert)ca. 15,9 l/100km (innerorts)ca. 7,6 l/100km (außerorts)",ca. 250 g/km (kombiniert),2/3,Klimaautomatik,Grau Metallic,"Alcantara, Schwarz",92.900 €,Motorlegenden,https://suchen.mobile.de/fahrzeuge/details.html?id=377958311&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=8&pw=%3A295&ref=srp&refId=d41b6fd2-583e-0282-a7e1-a80d699113d6&sb=rel&searchId=d41b6fd2-583e-0282-a7e1-a80d699113d6&vc=Car,4 (Grün),Meteorgrau,,
101,18.500 km,02/2010,254 kW (345 PS),Schaltgetriebe,2,Benzin,Unfallfrei,Sportwagen / Coupé,3.614 cm³,"ca. 10,6 l/100km (kombiniert)ca. 15,9 l/100km (innerorts)ca. 7,7 l/100km (außerorts)",ca. 249 g/km (kombiniert),2/3,2-Zonen-Klimaautomatik,Schwarz,"Vollleder, Schwarz",79.900 €,F & M Automobile,https://suchen.mobile.de/fahrzeuge/details.html?id=367168251&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=8&pw=%3A295&ref=srp&refId=d41b6fd2-583e-0282-a7e1-a80d699113d6&sb=rel&searchId=d41b6fd2-583e-0282-a7e1-a80d699113d6&vc=Car,4 (Grün),Tiefschwarz,,
102,69.000 km,06/2009,283 kW (385 PS),Schaltgetriebe,2,Benzin,Unfallfrei,Sportwagen / Coupé,3.800 cm³,"ca. 10,6 l/100km (kombiniert)ca. 15,9 l/100km (innerorts)ca. 7,6 l/100km (außerorts)",ca. 251 g/km (kombiniert),2/3,Klimaautomatik,Schwarz Metallic,"Vollleder, Schwarz",74.900 €,Autogalerie Nord GmbH,https://suchen.mobile.de/fahrzeuge/details.html?id=379341341&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=5&pw=%3A295&ref=srp&refId=f2bd8bb2-a611-8af9-df04-059412b354a6&sb=rel&searchId=f2bd8bb2-a611-8af9-df04-059412b354a6&vc=Car,4 (Grün),Basaltschwarz-,,
103,76.982 km,01/2010,283 kW (385 PS),Schaltgetriebe,,Benzin,,Cabrio / Roadster,3.800 cm³,"ca. 10,8 l/100km (kombiniert)ca. 16,2 l/100km (innerorts)ca. 7,7 l/100km (außerorts)",ca. 254 g/km (kombiniert),2/3,Klimaautomatik,Blau,"Vollleder, Braun",54.800 €,TGA Biler,https://suchen.mobile.de/fahrzeuge/details.html?id=378563791&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=5&pw=%3A295&ref=srp&refId=f2bd8bb2-a611-8af9-df04-059412b354a6&sb=rel&searchId=f2bd8bb2-a611-8af9-df04-059412b354a6&vc=Car,,,,Benzin
104,81.303 km,05/2010,283 kW (385 PS),Automatik,4,Benzin,Unfallfrei,Cabrio / Roadster,3.800 cm³,"ca. 10,7 l/100km (kombiniert)ca. 16,1 l/100km (innerorts)ca. 7,7 l/100km (außerorts)",ca. 251 g/km (kombiniert),2/3,Klimaautomatik,Schwarz Metallic,"Vollleder, Schwarz",84.997 €,Porsche Zentrum Darmstadt - Wiest Sportwagen GmbH,https://suchen.mobile.de/fahrzeuge/details.html?id=376146283&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=5&pw=%3A295&ref=srp&refId=f2bd8bb2-a611-8af9-df04-059412b354a6&sb=rel&searchId=f2bd8bb2-a611-8af9-df04-059412b354a6&vc=Car,4 (Grün),Basaltschwarz-metallic,2010,
105,135.000 km,12/2009,283 kW (385 PS),Automatik,,Benzin,Unfallfrei,Cabrio / Roadster,3.800 cm³,"ca. 11,0 l/100km (kombiniert)ca. 16,5 l/100km (innerorts)ca. 7,9 l/100km (außerorts)",ca. 259 g/km (kombiniert),2/3,Klimaautomatik,Grau Metallic,"Vollleder, Andere",74.999 €,GARAGE 91 UG (haftungsbeschränkt) KFZ-HANDEL&VERMITTLUNG,https://suchen.mobile.de/fahrzeuge/details.html?id=364112598&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=5&pw=%3A295&ref=srp&refId=f2bd8bb2-a611-8af9-df04-059412b354a6&sb=rel&searchId=f2bd8bb2-a611-8af9-df04-059412b354a6&vc=Car,4 (Grün),,,Benzin
106,37.963 km,08/2011,254 kW (345 PS),Automatik,3,Benzin,Unfallfrei,Sportwagen / Coupé,3.614 cm³,"ca. 9,8 l/100km (kombiniert)ca. 14,7 l/100km (innerorts)ca. 7,0 l/100km (außerorts)",ca. 230 g/km (kombiniert),2/3,2-Zonen-Klimaautomatik,Schwarz,"Teilleder, Schwarz",68.999 €,Autohaus Kevek,https://suchen.mobile.de/fahrzeuge/details.html?id=377262151&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=5&pw=%3A295&ref=srp&refId=f2bd8bb2-a611-8af9-df04-059412b354a6&sb=rel&searchId=f2bd8bb2-a611-8af9-df04-059412b354a6&vc=Car,4 (Grün),Schwarz,,
107,57.225 km,04/2010,283 kW (385 PS),Automatik,3,Benzin,,Cabrio / Roadster,3.800 cm³,"ca. 10,3 l/100km (kombiniert)ca. 15,5 l/100km (innerorts)ca. 7,3 l/100km (außerorts)",ca. 242 g/km (kombiniert),2/3,Klimaautomatik,Weiß,"Vollleder, Andere",77.777 €,Porsche Zentrum Soest,https://suchen.mobile.de/fahrzeuge/details.html?id=375579929&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=5&pw=%3A295&ref=srp&refId=f2bd8bb2-a611-8af9-df04-059412b354a6&sb=rel&searchId=f2bd8bb2-a611-8af9-df04-059412b354a6&vc=Car,4 (Grün),Carraraweiß,2010,
108,174.767 km,11/2009,283 kW (385 PS),Automatik,,Benzin,Unfallfrei,Cabrio / Roadster,3.800 cm³,"ca. 10,7 l/100km (kombiniert)ca. 16,1 l/100km (innerorts)ca. 7,7 l/100km (außerorts)",ca. 251 g/km (kombiniert),2/3,Klimaautomatik,Schwarz Metallic,"Vollleder, Schwarz",58.999 €,Autohaus Koch GmbH,https://suchen.mobile.de/fahrzeuge/details.html?id=365932728&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=5&pw=%3A295&ref=srp&refId=f2bd8bb2-a611-8af9-df04-059412b354a6&sb=rel&searchId=f2bd8bb2-a611-8af9-df04-059412b354a6&vc=Car,4 (Grün),Basaltschwarz-metallic,,
109,154.644 km,01/2009,283 kW (385 PS),Schaltgetriebe,,Benzin,Unfallfrei,Cabrio / Roadster,3.800 cm³,"ca. 11,2 l/100km (kombiniert)ca. 18,6 l/100km (innerorts)ca. 8,0 l/100km (außerorts)",ca. 265 g/km (kombiniert),2/3,Klimaautomatik,Grau Metallic,"Vollleder, Schwarz",63.997 €,Garage 11 AB,https://suchen.mobile.de/fahrzeuge/details.html?id=375057020&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=5&pw=%3A295&ref=srp&refId=f2bd8bb2-a611-8af9-df04-059412b354a6&sb=rel&searchId=f2bd8bb2-a611-8af9-df04-059412b354a6&vc=Car,,Meteorgraumetallic,,
110,140.610 km,01/2009,283 kW (385 PS),Automatik,2,Benzin,Unfallfrei,Sportwagen / Coupé,3.800 cm³,"ca. 10,6 l/100km (kombiniert)ca. 15,9 l/100km (innerorts)ca. 7,6 l/100km (außerorts)",ca. 250 g/km (kombiniert),2/3,Klimaautomatik,Grau Metallic,"Vollleder, Andere",51.500 €,Gewerbe,https://suchen.mobile.de/fahrzeuge/details.html?id=377124434&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=5&pw=%3A295&ref=srp&refId=f2bd8bb2-a611-8af9-df04-059412b354a6&sb=rel&searchId=f2bd8bb2-a611-8af9-df04-059412b354a6&vc=Car,,,,
